station_id,StationName,ntd_mode,agency,line_name,facility_type,Year built,Square Feet,Latitude,Longitude,full_address,City,State,County,Zip_Code,Inner_MaxHeight,Inner_MinHeight,Inner_AvgHeight,Inner_BuildingsWithHeight,Inner_TotalBuildings,Inner_TotalFootprint,Inner_AvgFootprint,Middle_MaxHeight,Middle_MinHeight,Middle_AvgHeight,Middle_BuildingsWithHeight,Middle_TotalBuildings,Middle_TotalFootprint,Middle_AvgFootprint,Outer_MaxHeight,Outer_MinHeight,Outer_AvgHeight,Outer_BuildingsWithHeight,Outer_TotalBuildings,Outer_TotalFootprint,Outer_AvgFootprint,HasStepDown_Inner_Middle,HasStepDown_Middle_Outer,ConsistentStepDown
94,PITTSBURG/BAY POINT  STATION,Heavy Rail,Bay Area Rapid Transit (BART),Yellow Line,At-Grade Fixed Guideway Station,1996,83400,38.01841,-121.941507,"459 Bailey Rd, Bay Point, CA 94565, USA",Bay Point,CA,Contra Costa County,94565,,,,0,5,1296.41,259.28,1,1,1,1,39,24994.31,640.88,,,,0,89,41487.07,466.15,FALSE,FALSE,FALSE
95,PLEASANT HILL/CONTRA COSTA CENTRE  STATION,Heavy Rail,Bay Area Rapid Transit (BART),Yellow Line,Elevated Fixed Guideway Station,1973,93200,37.927736,-122.056847,"132 Coggins Dr, Walnut Creek, CA 94597, USA",Walnut Creek,CA,Contra Costa County,94597,6,2,5,4,10,23340.38,2334.04,5,2,3,7,79,103122.17,1305.34,4,1,3.05,19,313,175578.42,560.95,TRUE,TRUE,TRUE
96,POWELL ST.  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Blue Line, Green Line, Red Line, Yellow Line",Underground Fixed Guideway Station,1973,134300,37.784971,-122.407012,"878 Market St, San Francisco, CA 94102, USA",San Francisco,CA,San Francisco County,94102,19,1,6.44,16,57,85528.39,1500.5,43,1,9.03,38,186,204858.09,1101.39,43,1,8.65,241,1476,851908.24,577.17,FALSE,FALSE,FALSE
97,RICHMOND  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Orange Line, Red Line",At-Grade Fixed Guideway Station,1973,96200,37.93717,-122.3534,"1700 Nevin Ave, Richmond, CA 94801, USA",Richmond,CA,Contra Costa County,94801,2,2,2,9,93,17873.58,192.19,,,,0,705,96746.84,137.23,5,1,1.87,15,3109,413528.25,133.01,FALSE,FALSE,FALSE
98,ROCKRIDGE  STATION,Heavy Rail,Bay Area Rapid Transit (BART),Yellow Line,Elevated Fixed Guideway Station,1973,96900,37.844184,-122.252732,"5600 Miles Ave, Oakland, CA 94618, USA",Oakland,CA,Alameda County,94618,3,1,1.78,9,164,26129.36,159.33,3,1,1.86,14,855,104367.26,122.07,4,1,2,19,3287,419850.76,127.73,FALSE,FALSE,FALSE
99,SAN BRUNO  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Red Line, Yellow Line",Underground Fixed Guideway Station,2003,91000,37.637143,-122.415912,"1151 Huntington Ave, San Bruno, CA 94066, USA",San Bruno,CA,San Mateo County,94066,,,,0,124,46203.82,372.61,2,2,2,1,242,106043.28,438.2,3,3,3,1,720,390514.18,542.38,FALSE,FALSE,FALSE
100,SAN FRANCISCO INT  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Red Line,Yellow Line",Elevated Fixed Guideway Station,2003,78500,37.6159,-122.392534,"San Francisco International Airport, San Francisco, CA 94128, USA",San Francisco,CA,San Mateo County,94128,6,4,5,2,5,15628.03,3125.61,12,3,5.6,5,15,36163.27,2410.88,7,2,3.38,8,163,197017.89,1208.7,FALSE,TRUE,FALSE
101,SAN LEANDRO  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Blue Line, Green Line, Orange Line",Elevated Fixed Guideway Station,1972,99000,37.72144,-122.16016,"San Leandro BART, San Leandro, CA 94577, USA",San Leandro,CA,Alameda County,94577,4,1,2.5,2,41,19470.84,474.9,4,1,1.9,10,370,92304.36,249.47,4,1,1.38,8,2427,418185.88,172.31,FALSE,FALSE,FALSE
102,SOUTH HAYWARD  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Green Line, Orange Line",Elevated Fixed Guideway Station,1972,69700,37.6348,-122.057551,"28601 Dixon St, Hayward, CA 94544, USA",Hayward,CA,Alameda County,28601,,,,0,77,16494.41,214.21,,,,0,360,69588.7,193.3,3,3,3,4,807,188989.9,234.19,FALSE,FALSE,FALSE
103,SOUTH SAN FRANCISCO  STATION,Heavy Rail,Bay Area Rapid Transit (BART),"Red Line, Yellow Line",Underground Fixed Guideway Station,2003,156500,37.66433,-122.44399,"South San Francisco Station, South San Francisco, CA 94080, USA",South San Francisco,CA,San Mateo County,94080,,,,0,23,24125.87,1048.95,1,1,1,1,260,78591.36,302.27,2,1,1.22,18,1175,266956.79,227.2,FALSE,FALSE,FALSE
