station_id,StationName,ntd_mode,agency,line_name,facility_type,Year built,Square Feet,Latitude,Longitude,full_address,City,State,County,Zip_Code,Inner_MaxHeight,Inner_MinHeight,Inner_AvgHeight,Inner_BuildingsWithHeight,Inner_TotalBuildings,Inner_TotalFootprint,Inner_AvgFootprint,Middle_MaxHeight,Middle_MinHeight,Middle_AvgHeight,Middle_BuildingsWithHeight,Middle_TotalBuildings,Middle_TotalFootprint,Middle_AvgFootprint,Outer_MaxHeight,Outer_MinHeight,Outer_AvgHeight,Outer_BuildingsWithHeight,Outer_TotalBuildings,Outer_TotalFootprint,Outer_AvgFootprint,HasStepDown_Inner_Middle,HasStepDown_Middle_Outer,ConsistentStepDown,Typology
654,LBJ / SKILLMAN STATION,Light Rail,Dallas Area Rapid Transit (DART),Blue Line ,Simple At-Grade Platform Station,2002.0,10800.0,32.897796,-96.711823,"LBJ / Skillman Station, Dallas, TX 75238, USA",Dallas,TX,Dallas County,75238,0.0,0.0,0.0,0,3,9431.54,3143.85,0.0,0.0,0.0,0,65,62903.71,967.75,3.0,3.0,3.0,1,387,381625.63,986.11,False,False,False,Other
655,LEDBETTER STATION,Light Rail,Dallas Area Rapid Transit (DART),Blue Line ,Simple At-Grade Platform Station,1997.0,30150.0,32.683296,-96.788597,"Ledbetter Station, Dallas, TX 75241, USA",Dallas,TX,Dallas County,75241,0.0,0.0,0.0,0,12,4749.38,395.78,0.0,0.0,0.0,0,61,17414.07,285.48,0.0,0.0,0.0,0,473,88743.85,187.62,False,False,False,Other
656,LOVERS LANE STATION,Light Rail,Dallas Area Rapid Transit (DART),"Orange Line, Red Line",Simple At-Grade Platform Station,1997.0,12240.0,32.849157,-96.771511,"6640 N Central Expy, Dallas, TX 75206, USA",Dallas,TX,Dallas County,75206,0.0,0.0,0.0,0,31,16314.24,526.27,2.0,2.0,2.0,1,178,75604.08,424.74,3.0,1.0,2.12,58,886,366787.82,413.98,False,False,False,Donut
657,MARKET CENTER STATION,Light Rail,Dallas Area Rapid Transit (DART),"Green Line, Orange Line",Simple At-Grade Platform Station,2010.0,10120.0,32.804751,-96.823348,"Market Center Station, Dallas, TX 75207, USA",Dallas,TX,Dallas County,75207,0.0,0.0,0.0,0,33,16142.91,489.18,0.0,0.0,0.0,0,196,120558.27,615.09,27.0,2.0,9.12,8,364,294817.08,809.94,False,False,False,Other
658,MLK STATION,Light Rail,Dallas Area Rapid Transit (DART),Green Line,Simple At-Grade Platform Station,2009.0,8400.0,32.773793,-96.764651,"3131 South Blvd, Dallas, TX 75215, USA",Dallas,TX,Dallas County,75215,0.0,0.0,0.0,0,33,11166.53,338.38,0.0,0.0,0.0,0,78,45016.05,577.13,0.0,0.0,0.0,0,422,208602.28,494.32,False,False,False,Other
659,MOCKINGBIRD STATION,Light Rail,Dallas Area Rapid Transit (DART),"Blue Line, Orange Line, Red Line",Underground Fixed Guideway Station,1997.0,12200.0,32.837806,-96.774666,"SMU/Mockingbird Station, 5465 E Mockingbird Ln, Dallas, TX 75206, USA",Dallas,TX,Dallas County,75206,6.0,1.0,2.75,4,20,27944.89,1397.24,9.0,1.0,2.88,8,139,80140.67,576.55,4.0,0.0,3.0,8,831,323918.88,389.79,False,True,False,Donut
660,MORRELL STATION,Light Rail,Dallas Area Rapid Transit (DART),Blue Line ,Simple At-Grade Platform Station,1997.0,10800.0,32.740135,-96.80272,"1363 Morrell Ave, Dallas, TX 75203, USA",Dallas,TX,Dallas County,75203,0.0,0.0,0.0,0,81,11886.92,146.75,0.0,0.0,0.0,0,258,37445.66,145.14,0.0,0.0,0.0,0,681,157860.82,231.81,False,False,False,Other
661,NORTH CARROLLTON STATION,Light Rail,Dallas Area Rapid Transit (DART),Green Line,Simple At-Grade Platform Station,2010.0,738.0,32.99177,-96.93704,"North Carrollton/Frankford Station, Carrollton, TX 75007, USA",Carrollton,TX,Denton County,75007,0.0,0.0,0.0,0,2,43423.04,21711.52,0.0,0.0,0.0,0,8,26083.92,3260.49,1.0,1.0,1.0,1,15,210615.29,14041.02,False,False,False,Other
662,NORTH LAKE COLLEGE STATION,Light Rail,Dallas Area Rapid Transit (DART),Orange Line,Simple At-Grade Platform Station,2012.0,23000.0,32.87508,-96.96713,"North Lake College Station, 1770 W Walnut Hill Ln, Irving, TX 75038, USA",Irving,TX,Dallas County,75038,0.0,0.0,0.0,0,30,16547.13,551.57,0.0,0.0,0.0,0,95,51134.91,538.26,0.0,0.0,0.0,0,152,248196.28,1632.87,False,False,False,Other
663,OAKENWALD STATION,Streetcar,Dallas Area Rapid Transit (DART),Dallas Streetcar,Simple At-Grade Platform Station,2016.0,633.0,32.760562,-96.817924,"1399 N Zang Blvd, Dallas, TX 75203, USA",Dallas,TX,Dallas County,75203,0.0,0.0,0.0,0,16,12458.26,778.64,3.0,2.0,2.8,5,69,37192.81,539.03,5.0,1.0,3.67,3,315,174538.76,554.09,False,False,False,Donut
